Latitude (decimal degrees):	38.346
Longitude (decimal degrees):	-0.489
Elevation (m):	30
Radiation database:	PVGIS-SARAH3


Slope: 35 deg. 
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20230315:1610,351.37,316.24,113.82,6.02,21.93,17.5,4.28,0.0
20230315:1710,127.18,123.53,60.89,2.55,10.66,16.98,3.72,0.0
20230315:1810,0.0,0.0,0.0,0.0,0.0,16.34,2.28,0.0
20230315:1910,0.0,0.0,0.0,0.0,0.0,15.65,0.97,0.0
20230315:2010,0.0,0.0,0.0,0.0,0.0,15.21,0.48,0.0
20230315:2110,0.0,0.0,0.0,0.0,0.0,14.48,0.48,0.0
20230315:2210,0.0,0.0,0.0,0.0,0.0,14.48,0.76,0.0
20230315:2310,0.0,0.0,0.0,0.0,0.0,14.34,0.62,0.0
20230316:0010,0.0,0.0,0.0,0.0,0.0,13.81,0.34,0.0
20230316:0110,0.0,0.0,0.0,0.0,0.0,13.36,0.34,0.0
20230316:0210,0.0,0.0,0.0,0.0,0.0,13.05,0.62,0.0
20230316:0310,0.0,0.0,0.0,0.0,0.0,12.87,0.69,0.0
20230316:0410,0.0,0.0,0.0,0.0,0.0,12.71,1.03,0.0
20230316:0510,0.0,0.0,0.0,0.0,0.0,12.67,1.52,0.0
20230316:0610,0.0,0.0,0.0,0.0,0.0,12.54,1.79,0.0
20230316:0710,121.43,117.27,59.27,2.48,10.36,13.07,1.59,0.0
20230316:0810,359.01,341.21,101.25,6.19,21.68,15.01,1.45,0.0
20230316:0910,549.49,545.52,131.43,9.49,32.17,16.16,1.52,0.0
20230316:1010,705.0,756.5,130.36,12.41,41.14,17.18,1.93,0.0
20230316:1110,793.92,845.6,150.79,13.98,47.5,17.6,3.24,0.0
20230316:1210,841.53,912.59,140.82,14.76,49.92,17.76,4.07,0.0
20230316:1310,823.85,896.36,127.78,14.32,47.69,17.86,4.41,0.0
20230316:1410,705.16,704.12,157.21,12.12,41.47,17.74,4.55,0.0
20230316:1510,568.28,554.52,131.53,9.62,32.59,17.49,4.41,0.0
20230316:1610,358.02,327.59,110.5,6.17,22.15,17.15,3.93,0.0
20230316:1710,131.58,129.32,60.88,2.66,10.86,16.42,3.24,0.0
20230316:1810,0.0,0.0,0.0,0.0,0.0,15.83,2.55,0.0
20230316:1910,0.0,0.0,0.0,0.0,0.0,15.43,2.48,0.0
20230316:2010,0.0,0.0,0.0,0.0,0.0,15.23,3.03,0.0
20230316:2110,0.0,0.0,0.0,0.0,0.0,14.86,3.17,0.0
20230316:2210,0.0,0.0,0.0,0.0,0.0,14.18,2.97,0.0
20230316:2310,0.0,0.0,0.0,0.0,0.0,13.84,3.1,0.0
20230317:0010,0.0,0.0,0.0,0.0,0.0,13.58,3.24,0.0
20230317:0110,0.0,0.0,0.0,0.0,0.0,13.27,3.31,0.0
20230317:0210,0.0,0.0,0.0,0.0,0.0,12.96,3.31,0.0
20230317:0310,0.0,0.0,0.0,0.0,0.0,12.44,3.52,0.0
20230317:0410,0.0,0.0,0.0,0.0,0.0,12.04,3.52,0.0
20230317:0510,0.0,0.0,0.0,0.0,0.0,11.72,3.38,0.0
20230317:0610,0.0,0.0,0.0,0.0,0.0,11.56,3.17,0.0
20230317:0710,95.47,65.53,71.52,2.13,10.67,12.0,2.83,0.0
20230317:0810,273.52,174.05,159.46,5.14,22.0,13.68,2.41,0.0
20230317:0910,510.27,444.91,178.56,8.99,32.51,15.45,1.59,0.0
20230317:1010,620.66,568.83,222.0,11.41,41.51,17.03,0.55,0.0
20230317:1110,713.58,647.97,249.06,12.95,47.9,17.46,2.34,0.0
20230317:1210,667.15,490.85,331.19,12.33,50.31,17.53,3.59,0.0
20230317:1310,720.51,610.36,267.96,12.77,48.05,17.45,5.17,0.0
20230317:1410,615.73,473.97,262.73,10.87,41.77,17.02,6.21,0.0
20230317:1510,567.61,533.51,140.64,9.55,32.84,16.39,6.28,0.0
20230317:1610,363.47,329.46,110.03,6.24,22.36,16.18,5.79,0.0
20230317:1710,128.32,121.23,63.03,2.64,11.05,15.56,4.83,0.0
20230317:1810,0.0,0.0,0.0,0.0,0.0,15.13,3.59,0.0
20230317:1910,0.0,0.0,0.0,0.0,0.0,14.86,2.83,0.0
20230317:2010,0.0,0.0,0.0,0.0,0.0,14.62,2.0,0.0
20230317:2110,0.0,0.0,0.0,0.0,0.0,14.42,1.93,0.0
20230317:2210,0.0,0.0,0.0,0.0,0.0,13.83,1.31,0.0
20230317:2310,0.0,0.0,0.0,0.0,0.0,13.63,1.66,0.0
20230318:0010,0.0,0.0,0.0,0.0,0.0,13.44,1.38,0.0
20230318:0110,0.0,0.0,0.0,0.0,0.0,13.13,1.1,0.0
20230318:0210,0.0,0.0,0.0,0.0,0.0,12.94,1.03,0.0
20230318:0310,0.0,0.0,0.0,0.0,0.0,12.89,1.17,0.0
20230318:0410,0.0,0.0,0.0,0.0,0.0,12.95,1.1,0.0
20230318:0510,0.0,0.0,0.0,0.0,0.0,12.9,1.03,0.0
20230318:0610,0.0,0.0,0.0,0.0,0.0,13.23,1.38,0.0
20230318:0710,90.25,57.46,73.2,2.1,10.98,13.73,1.93,0.0
20230318:0810,105.03,9.13,130.12,2.69,22.32,15.19,1.52,0.0
20230318:0910,255.38,71.23,243.72,5.64,32.86,16.44,1.31,0.0
20230318:1010,240.59,28.4,272.83,5.75,41.89,17.68,0.55,0.0
20230318:1110,120.4,0.0,159.08,3.16,48.3,18.38,1.66,0.0
20230318:1210,53.64,0.0,79.99,1.59,50.71,18.55,2.21,0.0
20230318:1310,108.94,0.0,145.44,2.89,48.4,18.45,2.41,0.0
20230318:1410,407.16,175.56,322.64,8.37,42.07,18.85,2.9,0.0
20230318:1510,537.84,505.04,150.29,9.39,33.09,18.84,3.79,0.0
20230318:1610,208.13,91.3,169.65,4.39,22.58,18.66,4.41,0.0
20230318:1710,101.05,72.07,74.69,2.3,11.25,17.95,5.1,0.0
20230318:1810,0.0,0.0,0.0,0.0,0.0,17.04,5.38,0.0
20230318:1910,0.0,0.0,0.0,0.0,0.0,16.75,4.83,0.0
20230318:2010,0.0,0.0,0.0,0.0,0.0,16.57,3.93,0.0
20230318:2110,0.0,0.0,0.0,0.0,0.0,16.01,3.31,0.0
20230318:2210,0.0,0.0,0.0,0.0,0.0,15.32,3.1,0.0
20230318:2310,0.0,0.0,0.0,0.0,0.0,14.82,2.9,0.0
20230319:0010,0.0,0.0,0.0,0.0,0.0,14.48,2.62,0.0
20230319:0110,0.0,0.0,0.0,0.0,0.0,14.13,2.55,0.0
20230319:0210,0.0,0.0,0.0,0.0,0.0,13.94,2.83,0.0
20230319:0310,0.0,0.0,0.0,0.0,0.0,13.77,3.24,0.0
20230319:0410,0.0,0.0,0.0,0.0,0.0,13.59,3.52,0.0
20230319:0510,0.0,0.0,0.0,0.0,0.0,13.48,3.45,0.0
20230319:0610,0.0,0.0,0.0,0.0,0.0,13.31,3.24,0.0
20230319:0710,130.24,124.32,62.45,2.75,11.29,13.77,3.24,0.0
20230319:0810,358.78,330.51,107.92,6.33,22.64,16.25,3.45,0.0
20230319:0910,575.24,566.98,124.53,9.87,33.2,17.5,5.1,0.0
20230319:1010,719.31,741.75,139.05,12.55,42.26,18.36,4.76,0.0
20230319:1110,802.93,850.1,149.27,14.23,48.7,18.46,4.34,0.0
20230319:1210,688.65,525.57,321.18,12.7,51.11,18.6,4.62,0.0
20230319:1310,754.02,702.64,224.4,13.4,48.76,18.47,5.1,0.0
20230319:1410,557.78,376.0,296.18,10.31,42.37,18.37,5.66,0.0
20230319:1510,288.28,96.42,253.69,6.13,33.34,18.11,5.79,0.0
20230319:1610,360.1,327.9,111.09,6.35,22.79,17.64,5.45,0.0
20230319:1710,133.34,132.13,60.71,2.82,11.44,16.85,4.76,0.0
20230319:1810,0.0,0.0,0.0,0.0,0.0,16.3,3.52,0.0
20230319:1910,0.0,0.0,0.0,0.0,0.0,15.69,2.55,0.0
20230319:2010,0.0,0.0,0.0,0.0,0.0,15.18,1.86,0.0
20230319:2110,0.0,0.0,0.0,0.0,0.0,14.36,1.52,0.0
20230319:2210,0.0,0.0,0.0,0.0,0.0,14.28,1.93,0.0
20230319:2310,0.0,0.0,0.0,0.0,0.0,13.49,1.93,0.0
20230320:0010,0.0,0.0,0.0,0.0,0.0,13.1,2.0,0.0
20230320:0110,0.0,0.0,0.0,0.0,0.0,12.88,2.07,0.0
20230320:0210,0.0,0.0,0.0,0.0,0.0,12.36,2.14,0.0
20230320:0310,0.0,0.0,0.0,0.0,0.0,11.86,2.14,0.0
20230320:0410,0.0,0.0,0.0,0.0,0.0,11.56,2.07,0.0
20230320:0510,0.0,0.0,0.0,0.0,0.0,11.36,1.86,0.0
20230320:0610,0.0,0.0,0.0,0.0,0.0,11.57,1.59,0.0
20230320:0710,125.63,110.3,68.27,2.71,11.6,12.1,1.24,0.0
20230320:0810,358.22,334.81,108.66,6.46,22.97,14.38,0.48,0.0
20230320:0910,556.37,550.13,133.82,9.86,33.55,15.28,1.38,0.0
20230320:1010,686.55,682.53,169.37,12.28,42.64,16.35,2.34,0.0
20230320:1110,761.66,747.42,203.95,13.74,49.1,16.97,3.03,0.0
20230320:1210,805.81,813.69,192.77,14.49,51.5,17.4,3.72,0.0
20230320:1310,780.4,776.76,188.83,13.91,49.11,17.51,4.21,0.0
20230320:1410,707.33,708.05,156.27,12.42,42.66,17.57,4.41,0.0
20230320:1510,535.96,477.38,168.24,9.42,33.58,17.45,4.48,0.0
20230320:1610,359.08,325.86,112.68,6.4,23.0,17.12,4.34,0.0
20230320:1710,111.26,84.65,75.27,2.51,11.63,16.38,4.0,0.0
20230320:1810,0.0,0.0,0.0,0.0,0.0,15.65,3.31,0.0
20230320:1910,0.0,0.0,0.0,0.0,0.0,15.14,2.41,0.0
20230320:2010,0.0,0.0,0.0,0.0,0.0,14.66,1.86,0.0
20230320:2110,0.0,0.0,0.0,0.0,0.0,14.18,2.0,0.0
20230320:2210,0.0,0.0,0.0,0.0,0.0,13.49,2.21,0.0
20230320:2310,0.0,0.0,0.0,0.0,0.0,13.37,2.21,0.0
20230321:0010,0.0,0.0,0.0,0.0,0.0,13.31,2.14,0.0
20230321:0110,0.0,0.0,0.0,0.0,0.0,13.03,2.0,0.0
20230321:0210,0.0,0.0,0.0,0.0,0.0,12.33,1.86,0.0
20230321:0310,0.0,0.0,0.0,0.0,0.0,11.78,1.79,0.0
20230321:0410,0.0,0.0,0.0,0.0,0.0,11.38,1.86,0.0
20230321:0510,0.0,0.0,0.0,0.0,0.0,11.24,1.86,0.0
20230321:0610,0.0,0.0,0.0,0.0,0.0,11.18,1.72,0.0
20230321:0710,0.0,0.0,0.0,0.0,0.0,11.51,1.86,0.0
20230321:0810,0.0,0.0,0.0,0.0,0.0,13.61,2.21,0.0
20230321:0910,502.96,399.21,202.51,9.01,33.9,14.85,3.45,0.0
20230321:1010,586.24,433.77,279.29,10.83,43.01,16.59,3.31,0.0
20230321:1110,545.7,296.9,365.53,10.71,49.5,17.43,4.0,0.0
20230321:1210,836.02,880.65,155.4,14.9,51.9,17.86,4.9,0.0
20230321:1310,749.62,675.01,238.73,13.38,49.46,18.06,5.86,0.0
20230321:1410,688.91,641.78,188.98,12.1,42.96,17.99,6.28,0.0
20230321:1510,468.15,334.57,225.2,8.55,33.83,17.61,5.86,0.0
20230321:1610,306.82,222.64,151.6,5.75,23.21,16.93,5.17,0.0
20230321:1710,103.76,70.44,78.52,2.42,11.82,16.24,4.21,0.0
20230321:1810,0.0,0.0,0.0,0.0,0.0,15.63,3.38,0.0
20230321:1910,0.0,0.0,0.0,0.0,0.0,14.99,2.41,0.0
20230321:2010,0.0,0.0,0.0,0.0,0.0,14.73,2.0,0.0
20230321:2110,0.0,0.0,0.0,0.0,0.0,14.23,1.72,0.0
20230321:2210,0.0,0.0,0.0,0.0,0.0,13.58,1.1,0.0
20230321:2310,0.0,0.0,0.0,0.0,0.0,13.2,0.83,0.0
20230322:0010,0.0,0.0,0.0,0.0,0.0,12.91,1.03,0.0
20230322:0110,0.0,0.0,0.0,0.0,0.0,12.48,1.24,0.0
20230322:0210,0.0,0.0,0.0,0.0,0.0,12.04,1.45,0.0
20230322:0310,0.0,0.0,0.0,0.0,0.0,11.79,1.59,0.0
20230322:0410,0.0,0.0,0.0,0.0,0.0,11.6,1.66,0.0
20230322:0510,0.0,0.0,0.0,0.0,0.0,11.38,1.72,0.0
20230322:0610,0.0,0.0,0.0,0.0,0.0,11.26,1.86,0.0
20230322:0710,0.0,0.0,0.0,0.0,0.0,11.72,1.79,0.0
20230322:0810,363.5,328.17,113.81,6.56,23.61,13.53,1.93,0.0
20230322:0910,568.45,551.19,133.81,10.0,34.24,14.71,2.9,0.0
20230322:1010,704.06,717.53,151.92,12.62,43.39,16.84,3.03,0.0
20230322:1110,794.22,830.55,158.94,14.32,49.9,17.66,3.79,0.0
20230322:1210,840.06,905.28,143.64,15.14,52.29,18.33,4.48,0.0
20230322:1310,805.07,840.64,153.36,14.38,49.81,18.54,5.17,0.0
20230322:1410,720.03,733.9,143.11,12.71,43.25,18.56,5.52,0.0
20230322:1510,569.03,554.93,130.57,10.0,34.07,18.29,5.31,0.0
20230322:1610,358.24,328.13,110.56,6.51,23.42,17.9,4.62,0.0
20230322:1710,132.0,127.08,64.34,2.95,12.01,17.24,3.66,0.0
20230322:1810,0.0,0.0,0.0,0.0,0.0,16.69,2.41,0.0
20230322:1910,0.0,0.0,0.0,0.0,0.0,15.86,1.03,0.0
20230322:2010,0.0,0.0,0.0,0.0,0.0,15.18,0.62,0.0
20230322:2110,0.0,0.0,0.0,0.0,0.0,15.11,0.76,0.0
20230322:2210,0.0,0.0,0.0,0.0,0.0,14.12,0.76,0.0
20230322:2310,0.0,0.0,0.0,0.0,0.0,13.72,1.31,0.0
20230323:0010,0.0,0.0,0.0,0.0,0.0,13.51,1.38,0.0
20230323:0110,0.0,0.0,0.0,0.0,0.0,13.26,1.45,0.0
20230323:0210,0.0,0.0,0.0,0.0,0.0,12.96,1.66,0.0
20230323:0310,0.0,0.0,0.0,0.0,0.0,12.91,1.79,0.0
20230323:0410,0.0,0.0,0.0,0.0,0.0,12.79,1.93,0.0
20230323:0510,0.0,0.0,0.0,0.0,0.0,12.43,2.0,0.0
20230323:0610,0.0,0.0,0.0,0.0,0.0,12.15,1.86,0.0
20230323:0710,144.37,139.39,64.47,3.16,12.53,12.68,1.52,0.0
20230323:0810,373.12,352.27,106.55,6.84,23.94,14.95,1.38,0.0
20230323:0910,574.15,569.85,130.47,10.27,34.59,16.42,2.62,0.0
20230323:1010,716.51,749.79,141.83,12.98,43.76,18.11,3.1,0.0
20230323:1110,805.52,866.47,146.43,14.7,50.3,19.21,3.86,0.0
20230323:1210,849.67,929.67,136.59,15.44,52.69,19.71,4.83,0.0
20230323:1310,818.2,875.23,140.76,14.74,50.16,19.92,5.52,0.0
20230323:1410,727.0,754.76,137.35,12.98,43.54,20.15,5.72,0.0
20230323:1510,573.82,571.02,125.99,10.22,34.31,19.97,5.38,0.0
20230323:1610,367.97,349.68,104.35,6.76,23.63,19.62,4.76,0.0
20230323:1710,134.44,133.16,63.2,3.06,12.2,18.71,3.86,0.0
20230323:1810,0.0,0.0,0.0,0.0,0.0,17.68,2.48,0.0
20230323:1910,0.0,0.0,0.0,0.0,0.0,16.97,1.45,0.0
20230323:2010,0.0,0.0,0.0,0.0,0.0,16.3,1.45,0.0
20230323:2110,0.0,0.0,0.0,0.0,0.0,15.7,1.31,0.0
20230323:2210,0.0,0.0,0.0,0.0,0.0,15.31,1.31,0.0
20230323:2310,0.0,0.0,0.0,0.0,0.0,14.93,1.72,0.0
20230324:0010,0.0,0.0,0.0,0.0,0.0,14.53,1.93,0.0
20230324:0110,0.0,0.0,0.0,0.0,0.0,14.68,2.0,0.0
20230324:0210,0.0,0.0,0.0,0.0,0.0,14.17,2.07,0.0
20230324:0310,0.0,0.0,0.0,0.0,0.0,13.68,2.0,0.0
20230324:0410,0.0,0.0,0.0,0.0,0.0,13.31,2.07,0.0
20230324:0510,0.0,0.0,0.0,0.0,0.0,12.96,2.21,0.0
20230324:0610,0.0,0.0,0.0,0.0,0.0,12.98,2.41,0.0
20230324:0710,144.65,138.14,65.99,3.22,12.84,14.03,2.83,0.0
20230324:0810,355.27,312.05,124.97,6.64,24.26,16.73,2.34,0.0
20230324:0910,460.21,333.85,232.68,8.81,34.93,19.18,2.34,0.0
20230324:1010,596.75,491.21,263.69,11.47,44.14,21.26,2.07,0.0
20230324:1110,686.89,604.68,275.99,13.22,50.69,22.33,2.55,0.0
20230324:1210,790.25,833.82,182.94,14.88,53.08,22.92,3.59,0.0
20230324:1310,638.28,472.23,326.16,12.32,50.51,22.83,4.55,0.0
20230324:1410,333.35,89.75,322.51,7.47,43.83,22.53,5.17,0.0
20230324:1510,266.04,73.21,257.14,5.99,34.55,21.91,5.72,0.0
20230324:1610,51.66,0.0,78.18,1.56,23.83,21.06,5.93,0.0
20230324:1710,7.05,0.0,19.09,0.38,12.39,19.9,5.24,0.0
20230324:1810,0.0,0.0,0.0,0.0,0.0,19.64,3.72,0.0
20230324:1910,0.0,0.0,0.0,0.0,0.0,18.9,2.14,0.0
20230324:2010,0.0,0.0,0.0,0.0,0.0,18.64,1.31,0.0
20230324:2110,0.0,0.0,0.0,0.0,0.0,17.87,2.0,0.0
20230324:2210,0.0,0.0,0.0,0.0,0.0,17.67,3.03,0.0
20230324:2310,0.0,0.0,0.0,0.0,0.0,17.86,3.66,0.0
20230325:0010,0.0,0.0,0.0,0.0,0.0,18.1,4.21,0.0
20230325:0110,0.0,0.0,0.0,0.0,0.0,17.93,4.28,0.0
20230325:0210,0.0,0.0,0.0,0.0,0.0,17.79,4.14,0.0
20230325:0310,0.0,0.0,0.0,0.0,0.0,17.32,4.62,0.0
20230325:0410,0.0,0.0,0.0,0.0,0.0,17.12,5.03,0.0
20230325:0510,0.0,0.0,0.0,0.0,0.0,16.86,4.55,0.0
20230325:0610,0.0,0.0,0.0,0.0,0.0,16.6,4.28,0.0
20230325:0710,144.5,138.14,67.58,3.29,13.15,17.13,3.93,0.0
20230325:0810,375.05,362.67,102.45,7.03,24.58,18.89,2.69,0.0
20230325:0910,542.92,565.78,128.0,10.31,35.28,20.2,0.48,0.0
20230325:1010,692.67,743.84,138.22,12.98,44.51,21.11,2.34,0.0
20230325:1110,783.41,836.55,153.98,14.54,51.09,21.02,3.93,0.0
20230325:1210,826.91,896.9,145.52,15.26,53.47,21.03,4.76,0.0
20230325:1310,791.71,831.51,153.91,14.47,50.86,20.89,5.45,0.0
20230325:1410,703.69,716.43,146.85,12.73,44.11,20.7,5.79,0.0
20230325:1510,558.7,547.07,130.99,10.09,34.78,20.42,5.72,0.0
20230325:1610,356.86,333.14,106.98,6.69,24.04,19.94,5.38,0.0
20230325:1710,128.46,121.28,66.8,3.04,12.58,19.38,4.41,0.0
20230325:1810,0.0,0.0,0.0,0.0,0.0,18.75,2.41,0.0
20230325:1910,0.0,0.0,0.0,0.0,0.0,18.63,0.21,0.0
20230325:2010,0.0,0.0,0.0,0.0,0.0,18.15,0.48,0.0
20230325:2110,0.0,0.0,0.0,0.0,0.0,17.61,0.9,0.0
20230325:2210,0.0,0.0,0.0,0.0,0.0,16.9,0.62,0.0
20230325:2310,0.0,0.0,0.0,0.0,0.0,16.45,1.72,0.0
20230326:0010,0.0,0.0,0.0,0.0,0.0,16.21,1.93,0.0
20230326:0110,0.0,0.0,0.0,0.0,0.0,16.01,2.14,0.0
20230326:0210,0.0,0.0,0.0,0.0,0.0,15.79,2.34,0.0
20230326:0310,0.0,0.0,0.0,0.0,0.0,15.64,2.48,0.0
20230326:0410,0.0,0.0,0.0,0.0,0.0,15.92,2.69,0.0
20230326:0510,0.0,0.0,0.0,0.0,0.0,15.9,2.9,0.0
20230326:0610,0.0,0.0,4.55,0.09,1.72,15.63,2.97,0.0
20230326:0710,139.83,122.05,75.43,3.24,13.45,16.55,3.24,0.0
20230326:0810,353.54,308.68,129.0,6.76,24.9,19.0,2.97,0.0
20230326:0910,563.26,560.76,134.15,10.4,35.62,20.85,3.66,0.0
20230326:1010,665.68,638.61,196.99,12.5,44.89,22.58,3.93,0.0
20230326:1110,766.12,795.25,180.11,14.43,51.49,23.5,4.34,0.0
